simplified_name	titulo	autor	nivel_educativo	materia	tipo	idioma	ilustraciones	genero	pagina	tamano	deposito_legal	isbn	edad	ficha_didactica
educacion_fisica_deportes_y_recreacion-3-secundaria	Educación Física, Deportes y Recreación 3 Secundaria	Varios	SECUNDARIA	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_fisica_deportes_y_recreacion-4-secundaria	Educación Física, Deportes y Recreación 4 Secundaria	Varios	SECUNDARIA	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_fisica_deportes_y_recreacion-5-secundaria	Educación Física, Deportes y Recreación 5 Secundaria	Varios	SECUNDARIA	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_fisica_deportes_y_recreacion-6-secundaria	Educación Física, Deportes y Recreación 6 Secundaria	Varios	SECUNDARIA	EDUCACION_FISICA	TEXTO_EDUCATIVO	ESPANOL								
artes_plasticas_y_visuales-1-primaria	Artes Plásticas y Visuales 1 Primaria	Varios	SECUNDARIA	ARTES_PLASTICAS	TEXTO_EDUCATIVO	ESPANOL								
artes_plasticas_y_visuales-2-primaria	Artes Plásticas y Visuales 2 Primaria	Varios	PRIMARIA	ARTES_PLASTICAS	TEXTO_EDUCATIVO	ESPANOL								
artes_plasticas_y_visuales-3-primaria	Artes Plásticas y Visuales 3 Primaria	Varios	PRIMARIA	ARTES_PLASTICAS	TEXTO_EDUCATIVO	ESPANOL								
artes_plasticas_y_visuales-4-primaria	Artes Plásticas y Visuales 4 Primaria	Varios	PRIMARIA	ARTES_PLASTICAS	TEXTO_EDUCATIVO	ESPANOL								
artes_plasticas_y_visuales-5-primaria	Artes Plásticas y Visuales 5 Primaria	Varios	PRIMARIA	ARTES_PLASTICAS	TEXTO_EDUCATIVO	ESPANOL								
artes_plasticas_y_visuales-6-primaria	Artes Plásticas y Visuales 6 Primaria	Varios	PRIMARIA	ARTES_PLASTICAS	TEXTO_EDUCATIVO	ESPANOL								
artes_plasticas_y_visuales-1-secundaria	Artes Plásticas y Visuales 1 Secundaria	Varios	SECUNDARIA	ARTES_PLASTICAS	TEXTO_EDUCATIVO	ESPANOL								
artes_plasticas_y_visuales-2-secundaria	Artes Plásticas y Visuales 2 Secundaria	Varios	SECUNDARIA	ARTES_PLASTICAS	TEXTO_EDUCATIVO	ESPANOL								
artes_plasticas_y_visuales-3-secundaria	Artes Plásticas y Visuales 3 Secundaria	Varios	SECUNDARIA	ARTES_PLASTICAS	TEXTO_EDUCATIVO	ESPANOL								
artes_plasticas_y_visuales-4-secundaria	Artes Plásticas y Visuales 4 Secundaria	Varios	SECUNDARIA	ARTES_PLASTICAS	TEXTO_EDUCATIVO	ESPANOL								
artes_plasticas_y_visuales-5-secundaria	Artes Plásticas y Visuales 5 Secundaria	Varios	SECUNDARIA	ARTES_PLASTICAS	TEXTO_EDUCATIVO	ESPANOL								
artes_plasticas_y_visuales-6-secundaria	Artes Plásticas y Visuales 6 Secundaria	Varios	SECUNDARIA	ARTES_PLASTICAS	TEXTO_EDUCATIVO	ESPANOL								
educacion_musical-1-primaria	Educación Musical 1 Primaria	Varios	SECUNDARIA	MUSICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_musical-2-primaria	Educación Musical 2 Primaria	Varios	PRIMARIA	MUSICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_musical-3-primaria	Educación Musical 3 Primaria	Varios	PRIMARIA	MUSICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_musical-4-primaria	Educación Musical 4 Primaria	Varios	PRIMARIA	MUSICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_musical-5-primaria	Educación Musical 5 Primaria	Varios	PRIMARIA	MUSICA	TEXTO_EDUCATIVO	ESPANOL								
